[2025-03-27 14:27:36,111: INFO: main: Welcome to our custom log]
[2025-03-27 18:51:38,095: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 18:51:38,103: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 18:53:11,753: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 18:53:11,754: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 18:53:11,754: INFO: common: created directory at: artifacts]
[2025-03-27 18:53:11,755: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-27 18:53:11,756: INFO: 3434152109: Downloading data from https://drive.google.com/file/d/1itZiOjuG9E4KevkdhpfJhlKY1rr2jFbv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 18:53:27,021: INFO: 3434152109: downloaded data from https://drive.google.com/file/d/1itZiOjuG9E4KevkdhpfJhlKY1rr2jFbv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 19:12:36,595: INFO: main: >>>>>>>> stage Data Ingestion Stage   started <<<<<<<<<<]
[2025-03-27 19:12:36,596: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 19:12:36,596: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 19:12:36,596: INFO: common: created directory at: artifacts]
[2025-03-27 19:12:36,597: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-27 19:12:36,597: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1itZiOjuG9E4KevkdhpfJhlKY1rr2jFbv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 19:12:56,129: INFO: data_ingestion: downloaded data from https://drive.google.com/file/d/1itZiOjuG9E4KevkdhpfJhlKY1rr2jFbv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 19:12:56,477: INFO: main:  >>>>>>>>>> stage Data Ingestion Stage  COMPETED <<<<<<<< 

 x===============x]
